model,eng,fra,swa,yor,hau,zul,xho,ibo,amh,sot,twi,kin,lug,lin,orm,sna,wol,ewe
afrollama_v1,0.356,0.28,0.294,0.29,0.294,0.31,0.296,0.252,0.258,0.284,0.254,0.258,0.296,0.286,0.274,0.304,0.264,0.244
aya_expanse_8b,0.52,0.442,0.312,0.3,0.308,0.292,0.256,0.262,0.24,0.304,0.296,0.286,0.298,0.304,0.294,0.294,0.276,0.274
gemma4_12b,0.296,0.244,0.28,0.25,0.308,0.252,0.288,0.288,0.268,0.26,0.276,0.278,0.268,0.264,0.258,0.248,0.266,0.252
qwen3_4b_instruct,0.526,0.372,0.312,0.308,0.304,0.286,0.28,0.258,0.286,0.3,0.294,0.286,0.34,0.304,0.3,0.318,0.268,0.288
