model,eng,fra,swa,yor,hau,zul,xho,ibo,amh,sot,twi,kin,lug,lin,orm,sna,wol,ewe
afrollama_v1,0.2246069858074189,0.26753459590673445,0.18794129657745362,0.190462208211422,0.19021748650074005,0.1714701269865036,0.16212707901000978,0.24478103023767472,0.13800283747911452,0.21205006486177447,0.24538687813282012,0.2178487818837166,0.16569323194026947,0.22232856112718585,0.1951164497733116,0.199803313434124,0.22722049468755723,0.23892521268129352
aya_expanse_8b,-0.03706261819601059,0.04007329434156415,0.14572381871938705,0.15440380352735522,0.17120065957307817,0.17331734758615497,0.21619344562292098,0.21105081456899644,0.10784321486949922,0.1774326567053795,0.17301368606090545,0.17176481235027313,0.16030728763341906,0.2061405856013298,0.17155266970396044,0.1874724695682526,0.21179929351806637,0.20983473557233806
gemma4_12b,0.3034325487017631,0.38315543591976164,0.32521176111698147,0.34900576156377794,0.3086594824790954,0.3623267601132393,0.32273881745338445,0.3291888871788979,0.31211564797163005,0.35100726473331445,0.334143794119358,0.3324860184192657,0.3316741290688514,0.3620229267477989,0.34634078866243356,0.36884964579343793,0.3431295772790909,0.3735873418450355
qwen3_4b_instruct,0.01110507720708842,0.10898604881763457,0.1390014701485634,0.1255830491185188,0.14089917862415313,0.1629719007611275,0.17692342573404307,0.20236408555507657,0.08272794842720033,0.1764872495532036,0.1611577378511429,0.15177954876422883,0.09474641543626783,0.17977691274881363,0.12817705011367797,0.13880119591951368,0.18246146076917646,0.16984390884637834
