model,accuracy,ece,overconfidence,brier,auroc,auarc
afrollama_v1,0.283,0.2077,0.2056,0.2633,0.5327,0.3099
aya_expanse_8b,0.3088,0.167,0.1584,0.2554,0.5357,0.3354
gemma4_12b,0.2691,0.3419,0.3411,0.3447,0.5235,0.2891
qwen3_4b_instruct,0.3128,0.1452,0.1408,0.2458,0.5529,0.3486
