model,eng,fra,swa,yor,hau,zul,xho,ibo,amh,sot,twi,kin,lug,lin,orm,sna,wol,ewe
afrollama_v1,0.2246069858074188,0.2675345959067345,0.1879412965774536,0.19216841489076614,0.19021748650074002,0.1714701269865036,0.16212707901000975,0.24478103023767472,0.14729614275693892,0.2120500648617744,0.2472823531627655,0.2178487818837166,0.1665377199649811,0.22232856112718585,0.19892186313867566,0.21969421905279163,0.2272204946875572,0.23892521268129346
aya_expanse_8b,0.05720183283090593,0.0707012258172035,0.15122503298521042,0.1544038035273552,0.17209001487493514,0.17331734758615494,0.21705860692262646,0.213997538626194,0.11353693687915804,0.18351174515485763,0.17445890748500828,0.17176481235027316,0.160307287633419,0.20614058560132983,0.1715526697039604,0.19258994603157042,0.2117992935180664,0.21073816734552386
gemma4_12b,0.31109394592046735,0.3831554359197617,0.32521176111698147,0.34900576156377794,0.30865948247909547,0.3623267601132393,0.3227388174533844,0.3291888871788978,0.3144938822388649,0.3510072647333145,0.3341437941193581,0.3324860184192657,0.33460778921842577,0.36499626928567885,0.3463407886624336,0.36884964579343804,0.3431295772790909,0.37358734184503556
qwen3_4b_instruct,0.06170916253328325,0.11446874582767487,0.1390014701485634,0.12558304911851884,0.14089917862415313,0.16660262399911877,0.17763317316770552,0.2023640855550766,0.08417272186279295,0.18114664655923843,0.16465489065647126,0.15214691531658173,0.09712595611810684,0.17977691274881363,0.12837825560569766,0.1413672897219658,0.18246146076917646,0.17450875908136368
