category,n,accuracy,ece,overconfidence,model
elementary_mathematics,1800,0.35,0.17801085079709691,0.1780108507970969,afrollama_v1
global_facts,1800,0.27444444444444444,0.18399708828992312,0.18399708828992317,afrollama_v1
high_school_geography,1800,0.2783333333333333,0.289667489313417,0.28914033047027055,afrollama_v1
high_school_microeconomics,1800,0.25666666666666665,0.20051650236050292,0.20015312648481792,afrollama_v1
international_law,1800,0.25555555555555554,0.1784805071685049,0.17689766930209266,afrollama_v1
elementary_mathematics,1800,0.43833333333333335,0.045346064286099524,0.0007434465984503258,aya_expanse_8b
global_facts,1800,0.3016666666666667,0.09389335215091703,0.09389335215091704,aya_expanse_8b
high_school_geography,1800,0.2916666666666667,0.2930988742742274,0.292042303101884,aya_expanse_8b
high_school_microeconomics,1800,0.25277777777777777,0.2190438497728772,0.21904384977287716,aya_expanse_8b
international_law,1800,0.2594444444444444,0.1866909934249189,0.18651648652222425,aya_expanse_8b
elementary_mathematics,1800,0.23722222222222222,0.32529753872089917,0.32529753872089917,gemma4_12b
global_facts,1800,0.23777777777777778,0.3018791888323095,0.3018791888323096,gemma4_12b
high_school_geography,1800,0.29777777777777775,0.4162956852383084,0.41629568523830845,gemma4_12b
high_school_microeconomics,1800,0.2833333333333333,0.34572415669759116,0.34519161214431127,gemma4_12b
international_law,1800,0.28944444444444445,0.3166350276105934,0.3166350276105934,gemma4_12b
elementary_mathematics,1800,0.4738888888888889,0.04888912417822411,-0.023709233254194273,qwen3_4b_instruct
global_facts,1800,0.27111111111111114,0.10711555964416929,0.10711555964416924,qwen3_4b_instruct
high_school_geography,1800,0.28555555555555556,0.2787545552021928,0.2787545552021927,qwen3_4b_instruct
high_school_microeconomics,1800,0.27,0.18044476576977309,0.18044476576977303,qwen3_4b_instruct
international_law,1800,0.2633333333333333,0.16122592608133954,0.16122592608133957,qwen3_4b_instruct
