model,benchmark,n_afr_langs,n_pairs,delta_overconfidence_macro,ci_low,ci_high
deepseek/deepseek-r1-0528,uhura_truthfulqa,6,68,0.1926,0.0996,0.2746
google/gemini-2.5-pro,uhura_truthfulqa,6,27,0.0472,-0.1077,0.1806
