model,dataset,n_shots,acc_0shot,acc_kshot,acc_delta,ece_0shot,ece_kshot,ece_delta,overconf_0shot,overconf_kshot,overconf_delta
afrollama_v1,uhura_truthfulqa,5,0.32036963591388784,0.33873235368003046,0.018362717766142622,0.14088702209997628,0.11901752152749948,-0.021869500572476802,0.13657275805064983,0.11329830205548455,-0.023274455995165283
aya_expanse_8b,uhura_truthfulqa,5,0.31515084763696255,0.3313994221301498,0.01624857449318723,0.181736602355642,0.1705631858411168,-0.01117341651452522,0.17850223560661743,0.1641407449691726,-0.014361490637444824
gemma4_12b,uhura_truthfulqa,5,0.33981173753220517,0.30468930578642367,-0.0351224317457815,0.2505986019615288,0.33182964415412114,0.08123104219259236,0.24961375169866398,0.331210562451241,0.08159681075257699
qwen3_4b_instruct,uhura_truthfulqa,5,0.3285820264026301,0.35498907767847027,0.026407051275840143,0.15497642532616968,0.14142221024256,-0.013554215083609683,0.15122484968342856,0.12950468896287767,-0.021720160720550885
